id,url,filename,path
Fiscaliza,http://www.dga.cl/DGADocumentos/Fiscalizaciones_Nacional.xls,Fiscalizaciones_Nacional.xls,rawdata/www.dga.cl/Fiscalizaciones_Nacional.xls
XV,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_XV_Region.xls,Derechos_Concedidos_XV_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_XV_Region.xls
I,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_I_Region.xls,Derechos_Concedidos_I_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_I_Region.xls
II,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_II_Region.xls,Derechos_Concedidos_II_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_II_Region.xls
III,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_III_Region.xls,Derechos_Concedidos_III_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_III_Region.xls
IV,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_IV_Region.xls,Derechos_Concedidos_IV_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_IV_Region.xls
V,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_V_Region.xls,Derechos_Concedidos_V_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_V_Region.xls
XIII,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_XIII_Region.xls,Derechos_Concedidos_XIII_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_XIII_Region.xls
VI,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_VI_Region.xls,Derechos_Concedidos_VI_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_VI_Region.xls
VII,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_VII_Region.xls,Derechos_Concedidos_VII_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_VII_Region.xls
VIII,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_VIII_Region.xls,Derechos_Concedidos_VIII_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_VIII_Region.xls
IX,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_IX_Region.xls,Derechos_Concedidos_IX_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_IX_Region.xls
X,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_X_Region.xls,Derechos_Concedidos_X_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_X_Region.xls
XIV,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_XIV_Region.xls,Derechos_Concedidos_XIV_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_XIV_Region.xls
XI,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_XI_Region.xls,Derechos_Concedidos_XI_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_XI_Region.xls
XII,http://www.dga.cl/DGADocumentos/Derechos_Concedidos_XII_Region.xls,Derechos_Concedidos_XII_Region.xls,rawdata/www.dga.cl/Derechos_Concedidos_XII_Region.xls
